Type,Variable or Function,Datatype, Default Value, Description
Const,Thumb_Finger,Integer,0,
Const,First_Finger,Integer,1,
Const,Middle_Finger,Integer,2,
Const,Ring_Finger,Integer,3,
Const,Pinky_Finger,Integer,4,
Const,Channel,Integer,255,Signal to prepare for data transmission
Variable,Angle,Integer, 0 to 180,"0 is relaxed, 180 is clenched"
Function,"changePosition(int Finger, int Angle)",Void,,
Function,initPosition(),Void,,Changes all finger positions to relax (0ยบ)
Funciton,doGesture(str Gesture),,,
Funciton,bluetoothSend(int Number),,,